trait_BG,token_id,trait_Torso,trait_Color,trait_Power Unit,trait_Face,trait_Apex,trait_Right Sensor,trait_Quantum Core,trait_Sense Emulator,trait_Left Sensor,trait_Hands,trait_AUX,trait_Special Edition,rarity_score
Green Gradient,6181,Leather Jacket,Grape,Kouwei,Ongo,Emoji,Kouwei,Patrician,Inhaler,-1,-1,-1,-1,79.93801391643647
Pink Gradient,6247,Kouwei,Nova Blue,Kouwei,Recon,Industrial Sensor,Core,Patrician,-1,Core,-1,-1,-1,79.92083639716684
Grey Day,5451,Kouwei,Wrath,Patrician,Kouwei,Industrial Sensor,-1,Core,Ongo,-1,-1,-1,-1,79.89290601915206
Green Gradient,7649,PBJ,Navy,Centurion,Centurion,Industrial Sensor,-1,Core,Offender,-1,-1,-1,-1,79.83693626769916
Pink Gradient,7482,Graphic Tee,Titan,Core,Centurion,Garsi,APS,Ongo,-1,-1,-1,-1,-1,79.81566510588875
Pink Gradient,3907,Centurion,Nova Blue,Kouwei,Core,Centurion,Ongo,Core,Kouwei,-1,-1,-1,-1,79.79552469124755
Green Gradient,4650,BDVXP,Titan,Centurion,Centurion,Industrial Sensor,Core,Centurion,Inhaler,-1,-1,-1,-1,79.77956999361683
Grey Gradient,5533,Leather Jacket,Snake,Core,Core,Industrial Sensor,Ongo,Patrician,Inhaler,Kouwei,-1,-1,-1,79.75876662588256
Grey Day,2426,Leather Jacket,Navy,Centurion,Centurion,Industrial Sensor,Core,Core,Centurion,-1,-1,-1,-1,79.75375089229111
Green Gradient,5124,BDVXP,Titan,Core,Centurion,Industrial Sensor,Core,Kouwei,Inhaler,-1,-1,-1,-1,79.75309306882555
Blue Gradient,5987,Tactical,Navy,Kouwei,VRT,Industrial Sensor,Acoustic Array,Patrician,Inhaler,Core,-1,-1,-1,79.7278162185561
Blue Gradient,3168,Wind Breaker,34 Tauri,Extended Range,EMO-LED,-1,Core,Core,Offender,-1,-1,-1,-1,79.72487887445251
Grey Day,3271,Tactical,Nova Blue,Centurion,Recon,Industrial Sensor,-1,Kouwei,Inhaler,Core,-1,-1,-1,79.72405149012403
Orange Gradient,507,Leather Jacket,Nebula Red,EMP Shields,VRT,Industrial Sensor,Core,Core,Extended Release,Core,-1,-1,-1,79.67975381033891
Blue Gradient,2421,Tactical,34 Tauri,Kouwei,VRT,Garsi,Acoustic Array,Core,-1,Core,-1,-1,-1,79.67802189275112
Green Gradient,2550,Core,Nebula Red,Kouwei,Centurion,Centurion,-1,Core,Kouwei,Ongo,-1,-1,-1,79.60793957348638
Grey Day,2852,Puff Jacket,Cotton Candy,Kouwei,Kouwei,Garsi,-1,Kouwei,Inhaler,-1,-1,-1,-1,79.59981484691232
Grey Day,2887,Tactical,Echelon Grey,Core,VRT,Emoji,-1,Core,Offender,Infrared,-1,-1,-1,79.59198667724628
Black Graphic,5176,Wind Breaker,Nebula Red,Centurion,Kouwei,Industrial Sensor,-1,Core,Sticker,Core,-1,-1,-1,79.58819875126454
Green Gradient,2385,Tactical,Cotton Candy,Kouwei,VRT,Centurion,Core,Core,Ongo,Core,-1,-1,-1,79.57319098707916
Blue Gradient,6997,Graphic Tee,Echelon Grey,Core,Core,Industrial Sensor,Kouwei,Kouwei,Inhaler,Kouwei,-1,-1,-1,79.54545032904058
Orange Gradient,5517,Tactical,Grape,Patrician,VRT,Industrial Sensor,Core,Core,Kouwei,Infrared,-1,-1,-1,79.49887880511213
Grey Gradient,850,Tactical,Cotton Candy,Small Cell,Kouwei,Centurion,-1,Core,-1,-1,-1,-1,-1,79.48237610596912
Orange Gradient,1331,Tactical,Echelon Grey,Core,Core,Industrial Sensor,Ongo,Centurion,Inhaler,-1,-1,-1,-1,79.47520731345027
Purple Gradient,5337,Kouwei,Cotton Candy,Centurion,VRT,Centurion,Ongo,Runtime Meter,Inhaler,-1,-1,-1,-1,79.47306453852211
Purple Gradient,6585,Graphic Tee,Navy,Patrician,Centurion,Centurion,APS,Core,Inhaler,Kouwei,-1,-1,-1,79.45338443060506
Blue Gradient,4238,Leather Jacket,Nebula Red,Ongo,Centurion,Centurion,Kouwei,Core,Kouwei,-1,-1,-1,-1,79.45299643407493
Green Gradient,1721,Tactical,Nova Blue,Core,Centurion,Garsi,Kouwei,Core,Inhaler,-1,-1,-1,-1,79.44555264944854
Black Graphic,6691,Wind Breaker,Snake,Core,Kouwei,Industrial Sensor,Core,Runtime Meter,Inhaler,Kouwei,-1,-1,-1,79.44550898864993
Black Graphic,3396,Centurion,Cotton Candy,Kouwei,EMO-LED,-1,Kouwei,Patrician,Inhaler,-1,-1,-1,-1,79.4443466786438
Blue Gradient,2672,Leather Jacket,Pulsar White,Kouwei,EMO-LED,-1,APS,Patrician,Offender,-1,-1,-1,-1,79.43294944057
Green Gradient,3125,Kouwei,Echelon Grey,Patrician,Centurion,Centurion,-1,Patrician,Kouwei,Kouwei,-1,-1,-1,79.41169906672245
Black Graphic,6324,Centurion,Grape,Core,Centurion,Centurion,Ongo,Core,Inhaler,Core,-1,-1,-1,79.3875272712516
Grey Day,3838,Graphic Tee,Neptune,Kouwei,EMO-LED,-1,APS,Core,Inhaler,Infrared,-1,-1,-1,79.3808030626493
Grey Day,566,Graphic Tee,Grape,Centurion,Core,Emoji,-1,Core,Kouwei,Ongo,-1,-1,-1,79.36166246572913
Black Graphic,5241,Centurion,Nova Blue,Centurion,EMO-LED,-1,Core,Kouwei,Inhaler,APS,-1,-1,-1,79.3433158587972
Orange Gradient,3016,Leather Jacket,Wrath,Kouwei,VRT,Centurion,Centurion,Kouwei,Inhaler,-1,-1,-1,-1,79.3241823281714
Black Graphic,987,Graphic Tee,Neptune,Centurion,VRT,Industrial Sensor,Core,Runtime Meter,Inhaler,Ongo,-1,-1,-1,79.31170975997466
Grey Day,5397,Graphic Tee,Echelon Grey,Core,Field Agent,Industrial Sensor,-1,Kouwei,Inhaler,Centurion,-1,-1,-1,79.29273547076473
Grey Gradient,7048,Puff Jacket,Wrath,Kouwei,Kouwei,Industrial Sensor,Core,Core,Inhaler,Infrared,-1,-1,-1,79.285243057003
Black Graphic,836,Graphic Tee,Wrath,Kouwei,Centurion,Centurion,Centurion,Centurion,Inhaler,-1,-1,-1,-1,79.27318251523579
Pink Gradient,5111,Leather Jacket,Pulsar White,Small Cell,Core,-1,Core,Core,Inhaler,Infrared,-1,-1,-1,79.24935587338936
Purple Gradient,2394,Tracksuit,Wrath,Kouwei,Centurion,Garsi,Kouwei,Ongo,Inhaler,-1,-1,-1,-1,79.23525976154419
Grey Day,4637,Leather Jacket,34 Tauri,Kouwei,Centurion,Centurion,-1,Kouwei,Inhaler,Rabbit,-1,-1,-1,79.20980525297375
Orange Gradient,4319,Tracksuit,Grape,Core,Centurion,Industrial Sensor,-1,Centurion,Kouwei,Ongo,-1,-1,-1,79.20680981272653
Green Gradient,7445,Tracksuit,Nova Blue,Kouwei,Recon,Industrial Sensor,Kouwei,Core,-1,Core,-1,-1,-1,79.19748166164713
Grey Gradient,5407,Core,Wrath,Patrician,VRT,Industrial Sensor,-1,Runtime Meter,Ongo,-1,-1,-1,-1,79.18791220652312
Black Graphic,4964,Puff Jacket,Navy,Kouwei,Core,Centurion,Core,Core,Sticker,-1,-1,-1,-1,79.1813199785519
Grey Day,3210,Wind Breaker,Nebula Red,Kouwei,Centurion,Centurion,Kouwei,Core,Offender,Core,-1,-1,-1,79.16790990533875
Pink Gradient,1431,Leather Jacket,Nebula Red,EMP Shields,Centurion,Emoji,-1,Ongo,Kouwei,Kouwei,-1,-1,-1,79.16292669422232
Black Graphic,764,Puff Jacket,Snake,Core,EMO-LED,-1,Core,Core,-1,Ongo,-1,-1,-1,79.12064448532662
Grey Gradient,6928,Puff Jacket,Titan,Kouwei,Ongo,Centurion,-1,Core,Inhaler,APS,-1,-1,-1,79.0986965558787
Grey Gradient,5421,Puff Jacket,Titan,Extended Range,Centurion,Centurion,-1,Ongo,Inhaler,-1,-1,-1,-1,79.0978785533982
Blue Gradient,4132,Centurion,34 Tauri,Kouwei,Centurion,Industrial Sensor,Core,Ongo,Sticker,-1,-1,-1,-1,79.08298500719374
Blue Gradient,4782,Tracksuit,Cotton Candy,Centurion,EMO-LED,-1,Core,Patrician,Offender,Core,-1,-1,-1,79.0766528482351
Grey Gradient,4297,Kouwei,Snake,Core,Recon,Centurion,-1,Ongo,-1,Core,-1,-1,-1,79.02893611351269
Pink Gradient,3341,Tactical,Nebula Red,Patrician,Centurion,Centurion,Core,Kouwei,Inhaler,APS,-1,-1,-1,79.0276110583526
Orange Gradient,3568,Leather Jacket,Grape,Extended Range,VRT,Centurion,Core,Core,Ongo,-1,-1,-1,-1,79.02355582425723
Purple Gradient,5342,Leather Jacket,Cotton Candy,Patrician,Ongo,Emoji,-1,Runtime Meter,Offender,-1,-1,-1,-1,79.01830534828639
Black Graphic,226,PBJ,Navy,Core,Centurion,Industrial Sensor,-1,Patrician,Inhaler,-1,-1,-1,-1,78.98153640254141
Grey Gradient,3209,Graphic Tee,Pulsar White,Kouwei,Ongo,Industrial Sensor,Core,Centurion,Offender,Core,-1,-1,-1,78.97844884785802
Orange Gradient,5265,Tactical,Navy,Patrician,Field Agent,Industrial Sensor,-1,Runtime Meter,Kouwei,-1,-1,-1,-1,78.92737840373654
Black Graphic,6601,Leather Jacket,Cotton Candy,Kouwei,Centurion,Industrial Sensor,Core,Centurion,Ongo,Infrared,-1,-1,-1,78.91744940901573
Green Gradient,7009,Centurion,Navy,Kouwei,Recon,-1,Core,Core,Kouwei,Kouwei,-1,-1,-1,78.91649379835997
Orange Gradient,1283,Tracksuit,Titan,Centurion,Ongo,Centurion,-1,Core,Ongo,-1,-1,-1,-1,78.90425280732171
Blue Gradient,2203,Wind Breaker,Snake,Kouwei,Kouwei,Industrial Sensor,-1,Patrician,Inhaler,Infrared,-1,-1,-1,78.90051141406128
Pink Gradient,7164,Leather Jacket,Wrath,Ongo,VRT,Industrial Sensor,-1,Patrician,Extended Release,-1,-1,-1,-1,78.87179232823695
Green Gradient,6337,Leather Jacket,Navy,Kouwei,Centurion,Centurion,Core,Core,Ongo,Centurion,-1,-1,-1,78.86809563405231
Black Graphic,5069,Graphic Tee,Navy,Kouwei,Echelon-3,Emoji,-1,Centurion,-1,-1,-1,-1,-1,78.8606170400692
Grey Gradient,4502,Leather Jacket,Neptune,Core,Recon,Garsi,-1,Ongo,Kouwei,-1,-1,-1,-1,78.8471554179584
Black Graphic,3989,Puff Jacket,Echelon Grey,Kouwei,Centurion,Industrial Sensor,Core,Centurion,Kouwei,Infrared,-1,-1,-1,78.71733257920486
Orange Gradient,7637,Leather Jacket,Snake,Kouwei,Kouwei,Industrial Sensor,APS,Kouwei,-1,Core,-1,-1,-1,78.68872149123129
Purple Gradient,4450,Graphic Tee,Wrath,Centurion,EMO-LED,-1,Kouwei,Core,Offender,Kouwei,-1,-1,-1,78.68257844537438
Purple Gradient,1997,Wind Breaker,Snake,Kouwei,EMO-LED,-1,Ongo,Centurion,Offender,-1,-1,-1,-1,78.67525884113103
Green Gradient,2414,Graphic Tee,Neptune,Kouwei,VRT,Centurion,Rabbit,Core,Kouwei,Core,-1,-1,-1,78.66451686942337
Grey Day,5832,Centurion,Nebula Red,Kouwei,VRT,Industrial Sensor,Core,Runtime Meter,Inhaler,Infrared,-1,-1,-1,78.66114102976836
Grey Gradient,7063,Core,34 Tauri,Centurion,Recon,Emoji,Core,Centurion,-1,-1,-1,-1,-1,78.63794854242889
Black Graphic,3049,Tracksuit,Nova Blue,Centurion,Centurion,-1,Ongo,Core,Inhaler,-1,-1,Bypass,-1,78.6369845089669
Blue Gradient,6647,Leather Jacket,Nebula Red,Kouwei,Field Agent,Emoji,Core,Patrician,Inhaler,APS,-1,-1,-1,78.55693060993313
Purple Gradient,7093,Leather Jacket,Pulsar White,Kouwei,Graffiti,-1,-1,Core,Kouwei,Core,-1,-1,-1,78.5559283414707
Blue Gradient,2547,Leather Jacket,34 Tauri,Core,Recon,Emoji,-1,Core,Inhaler,Centurion,-1,-1,-1,78.5558064637493
Black Graphic,5475,Leather Jacket,Snake,Centurion,Ongo,Emoji,Core,Patrician,-1,APS,-1,-1,-1,78.53156547568814
Green Gradient,6061,Graphic Tee,Nebula Red,Centurion,Recon,Emoji,Kouwei,Centurion,-1,-1,-1,-1,-1,78.52409388408435
Blue Gradient,7421,Tracksuit,Neptune,Kouwei,VRT,Industrial Sensor,-1,Core,Inhaler,APS,-1,Bypass,-1,78.51668437590398
Pink Gradient,2838,Wind Breaker,Navy,Centurion,EMO-LED,-1,-1,Kouwei,Kouwei,Centurion,-1,-1,-1,78.51101695158857
Black Graphic,3696,Leather Jacket,Pulsar White,Kouwei,Core,Centurion,Ongo,Centurion,Offender,-1,-1,-1,-1,78.48886301574566
Grey Gradient,6936,Graphic Tee,Nova Blue,Kouwei,Centurion,Emoji,Core,Core,Extended Release,Centurion,-1,-1,-1,78.44771795289955
Pink Gradient,5553,Tactical,Pulsar White,Kouwei,Centurion,Emoji,-1,Core,Ongo,APS,-1,-1,-1,78.40996030362463
Purple Gradient,4462,Tactical,Grape,Core,Centurion,Industrial Sensor,Ongo,Patrician,Kouwei,-1,-1,-1,-1,78.40301437620684
Green Gradient,1376,Kouwei,34 Tauri,Extended Range,VRT,Industrial Sensor,-1,Core,Kouwei,Core,-1,-1,-1,78.39824705261499
Purple Gradient,6218,Kouwei,Cotton Candy,Centurion,Ongo,Emoji,-1,Core,Offender,-1,-1,-1,-1,78.384631774627
Purple Gradient,1274,Leather Jacket,Nebula Red,Core,Kouwei,Industrial Sensor,Core,Kouwei,Kouwei,Infrared,-1,-1,-1,78.36997554500027
Pink Gradient,4790,Graphic Tee,Nebula Red,Core,Ongo,Emoji,Rabbit,Core,-1,-1,-1,-1,-1,78.36495884862995
Green Gradient,3527,Puff Jacket,Grape,Core,EMO-LED,-1,Acoustic Array,Ongo,Inhaler,-1,-1,-1,-1,78.36267116433217
Pink Gradient,6285,Centurion,Navy,Kouwei,Centurion,Centurion,Core,Patrician,Extended Release,-1,-1,-1,-1,78.33996186245095
Black Graphic,3059,Graphic Tee,Pulsar White,Kouwei,Centurion,-1,Rabbit,Core,-1,Ongo,-1,-1,-1,78.31158403854491
Black Graphic,4288,Leather Jacket,Grape,Kouwei,Recon,Centurion,Kouwei,Core,-1,Kouwei,-1,-1,-1,78.30557881180951
Grey Day,1472,Tracksuit,Titan,Kouwei,Field Agent,Strobe,-1,Core,Inhaler,-1,-1,-1,-1,78.3026151738789
Purple Gradient,162,Tactical,Nebula Red,Kouwei,Ongo,-1,Core,Patrician,Kouwei,Core,-1,-1,-1,78.28518253010844
Black Graphic,4011,Puff Jacket,Wrath,Core,Centurion,Emoji,Core,Kouwei,Inhaler,APS,-1,-1,-1,78.28103309325752
Orange Gradient,3584,Tracksuit,Neptune,Kouwei,EMO-LED,-1,Acoustic Array,Core,Sticker,-1,-1,-1,-1,78.239918860266
Grey Day,1405,Puff Jacket,Nebula Red,Kouwei,Centurion,Industrial Sensor,-1,Ongo,Ongo,Core,-1,-1,-1,78.18585257153309
Purple Gradient,834,Graphic Tee,Grape,Kouwei,VRT,Industrial Sensor,-1,Runtime Meter,Sticker,Infrared,-1,-1,-1,78.17559671000627
Orange Gradient,342,Core,Neptune,Kouwei,Ongo,-1,-1,Kouwei,Kouwei,Kouwei,-1,-1,-1,78.16777973786859
Blue Gradient,7268,Graphic Tee,34 Tauri,Kouwei,Ongo,Industrial Sensor,-1,Kouwei,Inhaler,Centurion,-1,-1,-1,78.16746123025275
Blue Gradient,5423,Tactical,Grape,Core,Centurion,Industrial Sensor,Core,Ongo,-1,Centurion,-1,-1,-1,78.15720554609027
Blue Gradient,4067,Graphic Tee,Wrath,Ongo,EMO-LED,-1,-1,Core,Sticker,-1,-1,-1,-1,78.15463916938094
Purple Gradient,7127,Tracksuit,34 Tauri,Kouwei,VRT,Garsi,-1,Kouwei,Inhaler,Infrared,-1,-1,-1,78.14459162622916
Purple Gradient,3652,Leather Jacket,Snake,Core,Centurion,Ongo,-1,Kouwei,Offender,Kouwei,-1,-1,-1,78.14426980195756
Orange Gradient,4645,Tracksuit,Nebula Red,Kouwei,Centurion,Emoji,Kouwei,Core,-1,Centurion,-1,-1,-1,78.11943791510082
Grey Day,7191,Graphic Tee,34 Tauri,EMP Shields,Field Agent,Emoji,-1,Core,Kouwei,-1,-1,-1,-1,78.11144871172641
Black Graphic,7212,Centurion,Wrath,Kouwei,Centurion,Centurion,Acoustic Array,Kouwei,Kouwei,-1,-1,-1,-1,78.10831886288781
Grey Gradient,3856,Wind Breaker,Cotton Candy,Kouwei,Centurion,Centurion,Ongo,Centurion,Inhaler,Core,-1,-1,-1,78.10827526785857
Pink Gradient,28,Tactical,Grape,Core,Centurion,Industrial Sensor,-1,Core,Offender,Centurion,-1,-1,-1,78.10536277689279
Grey Day,2303,Leather Jacket,Nova Blue,Core,Centurion,Emoji,APS,Core,Inhaler,APS,-1,-1,-1,78.10047287483813
Black Graphic,3276,Graphic Tee,Neptune,Centurion,EMO-LED,-1,-1,Kouwei,Extended Release,Infrared,-1,-1,-1,78.09965099536856
Black Graphic,1511,Kouwei,34 Tauri,Centurion,Core,Centurion,Core,Centurion,Inhaler,Core,-1,-1,-1,78.06163716712241
Grey Gradient,5726,Leather Jacket,Nova Blue,Kouwei,Centurion,Centurion,Centurion,Core,-1,Kouwei,-1,-1,-1,78.05559401428873
Green Gradient,4584,Core,34 Tauri,Patrician,VRT,Emoji,-1,Core,Kouwei,APS,-1,-1,-1,78.04259698180707
Blue Gradient,4407,Wind Breaker,34 Tauri,Centurion,VRT,Ongo,Core,Core,Inhaler,Kouwei,-1,-1,-1,78.02837877386771
Pink Gradient,7439,Kouwei,Echelon Grey,Small Cell,Centurion,Industrial Sensor,-1,Patrician,Inhaler,-1,-1,-1,-1,78.02652119182868
Blue Gradient,800,Leather Jacket,Nova Blue,Core,EMO-LED,-1,Acoustic Array,Runtime Meter,Inhaler,APS,-1,-1,-1,78.01991049756265
Grey Gradient,3002,Core,Pulsar White,Kouwei,EMO-LED,-1,Core,Core,-1,Ongo,-1,-1,-1,78.01914725253113
Purple Gradient,4599,Leather Jacket,Cotton Candy,Kouwei,Centurion,Centurion,Core,Runtime Meter,Kouwei,-1,-1,Bypass,-1,78.00417318634106
Purple Gradient,1443,Tracksuit,34 Tauri,Kouwei,Core,Centurion,Core,Patrician,Inhaler,APS,-1,-1,-1,78.00360018732857
Green Gradient,1013,Graphic Tee,Titan,Kouwei,VRT,Centurion,Ongo,Runtime Meter,Offender,-1,-1,-1,-1,77.98409031670732
Pink Gradient,3304,Wind Breaker,Grape,EMP Shields,Core,Industrial Sensor,Core,Core,Kouwei,-1,-1,-1,-1,77.97483337933498
Black Graphic,272,Leather Jacket,Neptune,Core,Core,Ongo,Core,Core,Extended Release,-1,-1,-1,-1,77.97418977220437
Black Graphic,2921,Leather Jacket,Cotton Candy,Kouwei,EMO-LED,-1,Kouwei,Ongo,Extended Release,-1,-1,-1,-1,77.93884697988864
Blue Gradient,6864,Wind Breaker,34 Tauri,Patrician,VRT,Industrial Sensor,Ongo,Ongo,Inhaler,-1,-1,-1,-1,77.92948387379484
Grey Gradient,1064,Leather Jacket,Wrath,Centurion,Kouwei,Strobe,-1,Core,-1,APS,-1,-1,-1,77.92623577371415
Grey Day,890,Centurion,Nebula Red,Centurion,Centurion,Industrial Sensor,-1,Core,Sticker,Kouwei,-1,-1,-1,77.92567483578141
Black Graphic,1439,Leather Jacket,Nebula Red,Kouwei,VRT,Strobe,Ongo,Runtime Meter,-1,-1,-1,-1,-1,77.91573841978253
Pink Gradient,3918,Leather Jacket,Wrath,Core,VRT,Centurion,Core,Centurion,Ongo,Kouwei,-1,-1,-1,77.91271212791003
Black Graphic,3494,Tactical,Navy,Centurion,Centurion,Centurion,-1,Core,Inhaler,Ongo,-1,-1,-1,77.9122285996284
Black Graphic,3195,Graphic Tee,34 Tauri,EMP Shields,Centurion,Industrial Sensor,Core,Core,Inhaler,Infrared,-1,-1,-1,77.89442997854883
Grey Gradient,4593,Core,Cotton Candy,Centurion,Centurion,Emoji,-1,Patrician,Inhaler,APS,-1,-1,-1,77.87414731183621
Pink Gradient,5315,Tracksuit,Pulsar White,Centurion,Core,Industrial Sensor,-1,Core,Sticker,Kouwei,-1,-1,-1,77.83622127372655
Blue Gradient,2494,Graphic Tee,34 Tauri,Kouwei,Core,Emoji,-1,Centurion,Kouwei,Centurion,-1,-1,-1,77.80177297028375
Orange Gradient,4005,Kimono,Pulsar White,Centurion,EMO-LED,-1,Core,Core,-1,-1,-1,-1,-1,77.76218828953081
Black Graphic,6344,Puff Jacket,Grape,Centurion,Kouwei,Industrial Sensor,-1,Centurion,Offender,-1,-1,-1,-1,77.75187233966089
Black Graphic,6640,Graphic Tee,34 Tauri,EMP Shields,VRT,Centurion,-1,Ongo,-1,APS,-1,-1,-1,77.73507140914235
Black Graphic,4342,Tracksuit,Wrath,Kouwei,Field Agent,Emoji,-1,Core,-1,-1,-1,Bypass,-1,77.71115470348896
Pink Gradient,6582,Graphic Tee,Nebula Red,Centurion,Kouwei,Emoji,-1,Patrician,Ongo,-1,-1,-1,-1,77.71016664315633
Purple Gradient,6785,Leather Jacket,Pulsar White,Core,Field Agent,Industrial Sensor,-1,Kouwei,Inhaler,Centurion,-1,-1,-1,77.68903630921072
Orange Gradient,1556,Graphic Tee,Nova Blue,Kouwei,Centurion,Industrial Sensor,Kouwei,Core,Ongo,Core,-1,-1,-1,77.68535146590138
Pink Gradient,3050,Tracksuit,34 Tauri,Core,Ongo,-1,Core,Core,Inhaler,Centurion,-1,-1,-1,77.66999038799658
Pink Gradient,1171,Leather Jacket,Nebula Red,Kouwei,Centurion,Emoji,Kouwei,Centurion,Kouwei,APS,-1,-1,-1,77.65078238532269
Grey Gradient,2484,Kouwei,Neptune,Core,Core,Garsi,Core,Core,Kouwei,-1,-1,-1,-1,77.64141981683143
Orange Gradient,6986,Wind Breaker,Pulsar White,Centurion,Kouwei,Industrial Sensor,Acoustic Array,Core,Kouwei,-1,-1,-1,-1,77.60899666470596
Green Gradient,6979,Graphic Tee,Snake,Centurion,VRT,Industrial Sensor,Core,Runtime Meter,Sticker,Core,-1,-1,-1,77.57466070984086
Grey Day,7319,Tactical,34 Tauri,Patrician,Ongo,Industrial Sensor,Core,Core,Kouwei,-1,-1,-1,-1,77.56033514083092
Pink Gradient,1182,Graphic Tee,Neptune,Core,Recon,Emoji,Kouwei,Core,Inhaler,-1,-1,-1,-1,77.54417767462803
Orange Gradient,3797,Wind Breaker,Wrath,Centurion,Centurion,Industrial Sensor,-1,Runtime Meter,Kouwei,Centurion,-1,-1,-1,77.53677760036517
Orange Gradient,2263,Wind Breaker,Navy,Core,EMO-LED,-1,Acoustic Array,Core,-1,Infrared,-1,-1,-1,77.43762176759792
Grey Gradient,4499,Wind Breaker,Pulsar White,Centurion,Centurion,Centurion,Core,Core,Kouwei,Centurion,-1,-1,-1,77.41495918063318
Pink Gradient,6059,BDVXP,Navy,Centurion,Centurion,Emoji,-1,Centurion,Inhaler,-1,-1,-1,-1,77.41323286173149
Pink Gradient,2651,Wind Breaker,Nebula Red,Patrician,EMO-LED,-1,Acoustic Array,Patrician,Inhaler,-1,-1,-1,-1,77.40204497612328
Green Gradient,6662,Leather Jacket,Cotton Candy,Centurion,Field Agent,Ongo,Core,Runtime Meter,-1,-1,-1,-1,-1,77.3912551206668
Grey Day,3434,Graphic Tee,Echelon Grey,Core,VRT,Strobe,-1,Core,Ongo,-1,-1,-1,-1,77.38999954042409
Grey Day,7675,Tracksuit,Echelon Grey,Centurion,EMO-LED,-1,APS,Kouwei,Inhaler,-1,-1,-1,-1,77.37822303201001
Grey Gradient,4090,Kouwei,Wrath,Centurion,Centurion,Industrial Sensor,-1,Patrician,Offender,Kouwei,-1,-1,-1,77.36738311724578
Green Gradient,6666,Leather Jacket,Grape,Kouwei,Graffiti,-1,Core,Core,Kouwei,-1,-1,-1,-1,77.33028755933655
Orange Gradient,7160,Leather Jacket,Navy,Kouwei,EMO-LED,-1,-1,Ongo,Inhaler,Core,-1,Bypass,-1,77.32490269612809
Black Graphic,2913,Graphic Tee,Navy,Kouwei,Centurion,Industrial Sensor,APS,Centurion,Kouwei,Core,-1,-1,-1,77.29421672257251
Green Gradient,5778,Puff Jacket,Titan,Core,Centurion,Industrial Sensor,Core,Core,Offender,Kouwei,-1,-1,-1,77.28717761189556
Grey Day,1674,Kouwei,Wrath,Centurion,Centurion,Emoji,-1,Core,Kouwei,Centurion,-1,-1,-1,77.26813819046875
Pink Gradient,6595,Wind Breaker,Navy,Centurion,EMO-LED,-1,Core,Kouwei,Offender,Core,-1,-1,-1,77.26144179808074
Grey Gradient,6945,Graphic Tee,Wrath,Core,Recon,-1,Rabbit,Centurion,-1,-1,-1,-1,-1,77.21924098271772
Black Graphic,7700,Core,Neptune,Kouwei,Field Agent,Centurion,-1,Core,Kouwei,Core,-1,-1,-1,77.21903638837772
Black Graphic,1327,Tracksuit,Neptune,Patrician,Core,Centurion,Ongo,Core,Inhaler,-1,-1,-1,-1,77.19159301980481
Orange Gradient,5348,Leather Jacket,Nova Blue,Kouwei,Centurion,Garsi,Core,Core,Extended Release,Kouwei,-1,-1,-1,77.1842017076722
Blue Gradient,4189,Wind Breaker,Nebula Red,Patrician,Core,Emoji,-1,Core,Sticker,-1,-1,-1,-1,77.14265904775053
Orange Gradient,5454,Graphic Tee,Cotton Candy,Patrician,EMO-LED,-1,Kouwei,Core,Kouwei,Core,-1,-1,-1,77.11589295009146
Black Graphic,5839,Tactical,Nebula Red,Kouwei,Kouwei,Emoji,-1,Ongo,Inhaler,Core,-1,-1,-1,77.10375036246396
Purple Gradient,1959,Kouwei,34 Tauri,Kouwei,VRT,Industrial Sensor,-1,Centurion,Extended Release,Kouwei,-1,-1,-1,77.06127278970425
Grey Gradient,624,Centurion,Nova Blue,Kouwei,VRT,Industrial Sensor,-1,Centurion,Inhaler,Centurion,-1,-1,-1,77.04793616813267
Purple Gradient,3979,Graphic Tee,Neptune,Kouwei,Centurion,Centurion,Kouwei,Core,Kouwei,Infrared,-1,-1,-1,77.04353235600786
Blue Gradient,1176,Core,Wrath,Kouwei,Recon,Industrial Sensor,-1,Runtime Meter,Kouwei,-1,-1,-1,-1,77.02580537284868
Blue Gradient,5813,Leather Jacket,Nebula Red,Kouwei,Recon,Emoji,-1,Patrician,Inhaler,APS,-1,-1,-1,77.00930826905679
Grey Day,2993,Leather Jacket,Navy,Kouwei,EMO-LED,-1,Core,Core,Inhaler,Kouwei,-1,Bypass,-1,77.0013098628844
Green Gradient,158,Leather Jacket,Grape,Centurion,Centurion,Industrial Sensor,-1,Patrician,Offender,Centurion,-1,-1,-1,76.99005549927863
Black Graphic,5948,Tracksuit,Nebula Red,Core,Ongo,Emoji,Core,Centurion,Kouwei,-1,-1,-1,-1,76.97755648678907
Green Gradient,5398,Centurion,Neptune,Centurion,VRT,Centurion,Acoustic Array,Core,Kouwei,-1,-1,-1,-1,76.97038332698331
Pink Gradient,4788,Graphic Tee,Titan,Centurion,Kouwei,Industrial Sensor,Kouwei,Core,Inhaler,Core,-1,-1,-1,76.95597661552452
Green Gradient,6153,Kouwei,Grape,Kouwei,EMO-LED,-1,Rabbit,Core,Inhaler,-1,-1,-1,-1,76.95573647439204
Grey Gradient,7354,Centurion,Pulsar White,Patrician,EMO-LED,-1,Kouwei,Core,Inhaler,-1,-1,-1,-1,76.95131469754452
Pink Gradient,1786,Core,34 Tauri,Core,Centurion,Ongo,-1,Core,Inhaler,Kouwei,-1,-1,-1,76.94983643156212
